services,date,time,ride_status,source,destination,duration,ride_id,distance,ride_charge,misc_charge,total_fare,payment_method
bike,2024-06-23,19:18:20,completed,Banashankari 7th Stage,Richmond Road,99,RD8660319589404637,18.68,93.09,2.32,95.41,Amazon Pay
bike lite,2024-07-06,02:42:20,completed,Indiranagar North,Sahakar Nagar,48,RD4484661533610497,42.55,420.77,11.68,432.45,QR scan
parcel,2024-07-19,17:55:20,completed,MG Road Mahatma Gandhi Road,Whitefield South,112,RD1526455182706880,5.85,247.9,27.45,275.35,GPay
bike,2024-07-20,05:38:20,cancelled,JP Nagar,Rajajinagar 7th Block,45,RD7207154929912440,16.64,,,,
cab economy,2024-07-12,19:36:20,completed,Whitefield North,Brigade Road Eva Mall,44,RD6627722888214728,5.61,786.3,21.4,807.6999999999999,Paytm
bike lite,2024-07-07,20:01:20,cancelled,Indiranagar 7th Stage,Jayanagar,32,RD3945488262242659,48.96,,,,
bike lite,2024-07-01,22:54:20,completed,Kadubeesanahalli,Banashankari 2nd Stage,30,RD1872668675732568,11.61,685.89,6.11,692.0,Amazon Pay
auto,2024-06-24,18:26:20,completed,Jayanagar 8th Block,Banashankari 6th Stage,28,RD8212250057688058,34.48,729.41,33.67,763.0799999999999,Amazon Pay
auto,2024-06-24,09:49:20,completed,Domlur,Cooke Town,71,RD6478156857054878,22.59,620.75,36.66,657.41,GPay
auto,2024-07-19,21:25:20,cancelled,Brigade Road Garuda Mall,Vignan Nagar,11,RD3029247614222185,35.0,,,,
auto,2024-07-07,20:38:20,completed,Jayanagar 6th Block East,HSR Layout Sector 5,113,RD7099134978086824,49.88,701.6,11.29,712.89,Cash
bike,2024-07-11,15:12:20,cancelled,Rajajinagar 3rd Block,Jayanagar 2nd Block East,106,RD5926553782821365,18.21,,,,
cab economy,2024-07-10,19:09:20,completed,HSR Layout Sector 3 South,HSR Layout,99,RD2563360368286152,25.81,360.13,6.07,366.2,QR scan
bike,2024-06-29,22:31:20,cancelled,Whitefield Mahadevapura,Yelahanka New Town,12,RD8009610169324823,35.77,,,,
cab economy,2024-07-06,01:47:20,cancelled,Brigade Road,Electronic City,77,RD3756680585430046,41.47,,,,
cab premium,2024-07-16,04:42:20,cancelled,HSR Layout Sector 5 South,Malleshwaram North,47,RD1718924122980532,47.18,,,,
auto share,2024-06-25,14:30:20,completed,HSR Layout Sector 1 North,HSR Layout Sector 5,67,RD7930293719321513,19.84,113.44,21.11,134.55,Paytm
auto share,2024-07-22,10:59:20,cancelled,Jayanagar 10th Block East,Marathahalli Colony,115,RD7011984811787878,37.08,,,,
auto,2024-07-06,01:43:20,completed,Indiranagar North,HSR Layout Central,54,RD2034186068133556,32.65,723.76,13.58,737.34,Amazon Pay
bike lite,2024-07-06,11:43:20,cancelled,Commercial Street,Whitefield West,70,RD6300198086057219,31.26,,,,
cab premium,2024-06-29,14:22:20,cancelled,Electronic City Phase 3,Banashankari 4th Stage,97,RD9383791135465279,47.02,,,,
auto share,2024-07-23,01:24:20,completed,Hebbal Byatarayanapura,HSR Layout Sector 5 North,58,RD7040785418163640,11.72,391.86,4.15,396.01,phonePy
bike,2024-07-23,15:21:20,cancelled,Queens Road,Brigade Road Eva Mall,100,RD5232846266935209,42.87,,,,
parcel,2024-06-26,19:01:20,completed,HSR Layout Sector 6 South,Banashankari 7th Stage,90,RD9840431247305400,24.43,963.21,7.47,970.6800000000001,Paytm
auto,2024-06-27,08:26:20,completed,Electronic City Phase 2,HSR Layout Sector 8 North,7,RD5375563981393395,39.88,126.98,31.26,158.24,Amazon Pay
bike lite,2024-07-23,02:42:20,completed,Koramangala 2nd Block,Marathahalli Main Road,87,RD5803656443259409,27.63,842.51,16.67,859.18,Paytm
cab premium,2024-07-11,01:23:20,cancelled,Marathahalli Central,HSR Layout Sector 8,9,RD7732824411408817,19.02,,,,
cab economy,2024-07-12,18:09:20,cancelled,Koramangala 2nd Block,Rajajinagar 3rd Block,109,RD7154821193229128,2.26,,,,
cab premium,2024-07-12,02:43:20,completed,Vidyaranyapura,Malleshwaram 6th Block,47,RD2937871914336507,20.14,535.24,3.74,538.98,Amazon Pay
bike,2024-07-20,05:05:20,completed,Residency Road,Cox Town,41,RD9368948172615210,6.9,338.75,4.02,342.77,GPay
bike,2024-06-26,17:19:20,cancelled,Jayanagar 2nd Block East,Jayanagar 5th Block East,70,RD4103640082019763,37.37,,,,
bike,2024-07-09,01:18:20,completed,Hebbal Dasarahalli,Malleshwaram 2nd Block,44,RD7796698949754419,30.19,405.89,21.11,427.0,Amazon Pay
auto share,2024-06-29,07:56:20,completed,JP Nagar 4th Phase,Electronic City Phase 2,48,RD6127475382722075,44.78,622.54,29.5,652.04,Amazon Pay
cab economy,2024-06-26,21:10:20,cancelled,Malleshwaram 8th Block,Rajajinagar 6th Block,63,RD1846583825612596,7.63,,,,
cab premium,2024-07-14,20:09:20,completed,Marathahalli Central,Malleshwaram 4th Block,55,RD8060990742063395,22.35,540.1,46.62,586.72,GPay
auto share,2024-07-20,01:55:20,cancelled,HSR Layout Sector 9 South,Marathahalli Central,109,RD3971817395240979,28.43,,,,
auto,2024-06-26,06:34:20,cancelled,Sarjapur Road,Koramangala 4th Block,83,RD3083012157847131,15.74,,,,
bike lite,2024-07-01,08:42:20,cancelled,HSR Layout Sector 10 North,Indiranagar 9th Stage,97,RD2849393657076800,11.66,,,,
bike lite,2024-07-07,01:03:20,completed,Varthur,Brigade Road South,59,RD3041692842877308,47.57,983.11,3.43,986.54,GPay
auto share,2024-06-28,20:32:20,cancelled,St. Marks Road,Malleshwaram 10th Block,74,RD6701357715403198,49.3,,,,
auto share,2024-07-06,13:12:20,completed,Varthur,HSR Layout Sector 10,18,RD3449551462816181,46.39,861.2,31.3,892.5,Paytm
auto,2024-07-12,13:52:20,cancelled,Kadubeesanahalli,Jayanagar 10th Block East,101,RD7886312342065342,30.71,,,,
parcel,2024-07-12,22:31:20,cancelled,Jayanagar 10th Block East,Jayanagar 8th Block East,66,RD1848424123917083,45.03,,,,
cab premium,2024-06-23,03:21:20,completed,Banashankari 5th Stage,Cubbon Park,112,RD4513927227089348,41.7,979.31,1.03,980.3399999999999,QR scan
bike lite,2024-07-05,20:30:20,cancelled,Lavelle Road,HSR Layout South,92,RD2064283276156582,9.56,,,,
auto share,2024-06-26,20:38:20,cancelled,HSR Layout Sector 8 North,HSR Layout Sector 3 South,112,RD8282536145634572,2.1,,,,
auto,2024-07-03,23:03:20,completed,HSR Layout North,Brigade Road Bangalore Central,95,RD6554771785038567,23.23,825.69,43.44,869.1300000000001,Cash
auto share,2024-07-16,16:22:20,completed,BTM Layout 3rd Stage,Brigade Road Mota Royal Arcade,75,RD6885413641006934,5.71,940.37,18.32,958.69,Paytm
auto share,2024-07-05,21:53:20,cancelled,Whitefield West,Koramangala,27,RD2430541923837968,31.85,,,,
cab economy,2024-07-01,00:53:20,cancelled,Banashankari 5th Stage,Shantinagar,101,RD7860230543804011,6.31,,,,
auto share,2024-07-15,05:52:20,cancelled,Jayanagar 1st Block East,Cunningham Road,51,RD4593084954821153,2.95,,,,
auto share,2024-07-19,19:03:20,cancelled,Whitefield Borewell Road,Vijayanagar,48,RD3734814579614535,13.07,,,,
parcel,2024-07-09,21:04:20,completed,Hennur,Jayanagar 6th Block East,37,RD6800012653742400,8.9,881.84,31.58,913.4200000000001,Paytm
bike,2024-07-21,11:53:20,cancelled,Cox Town,MG Road Trinity Circle,52,RD8518365655397904,48.31,,,,
cab premium,2024-07-04,21:17:20,completed,JP Nagar 7th Phase,Koramangala North,87,RD2825478700055014,28.24,712.58,23.93,736.51,Cash
cab premium,2024-07-09,06:15:20,completed,Brigade Road South,Jayanagar 5th Block,52,RD8397687947118981,2.12,773.77,20.17,793.9399999999999,phonePy
auto,2024-07-05,02:35:20,cancelled,Koramangala Central,JP Nagar Central,50,RD6922101032045670,43.49,,,,
parcel,2024-07-04,16:26:20,cancelled,Indiranagar 8th Stage,Whitefield,108,RD5705223269693541,29.78,,,,
parcel,2024-06-28,03:52:20,cancelled,MG Road Symphony Theatre,Rajajinagar,70,RD2152663239826933,49.34,,,,
cab economy,2024-06-29,22:57:20,cancelled,Electronic City Central,MG Road Cubbon Park,66,RD5564785132476063,48.88,,,,
bike lite,2024-06-29,01:25:20,completed,MG Road Symphony Theatre,Banashankari 9th Stage,13,RD3205414491274541,26.37,646.53,32.41,678.9399999999999,GPay
parcel,2024-07-11,22:51:20,completed,Banashankari 2nd Stage,Banashankari 7th Stage,64,RD2023698783515442,34.79,547.99,7.43,555.42,QR scan
auto share,2024-07-17,21:37:20,cancelled,Jayanagar 7th Block,Malleshwaram Central,40,RD7081734293572416,31.31,,,,
auto,2024-06-24,09:36:20,completed,Brigade Road Church Street,Malleshwaram North,120,RD3668501536121631,38.94,43.53,42.21,85.74000000000001,GPay
auto,2024-07-16,14:21:20,completed,HSR Layout Sector 4 North,Brigade Road Richmond Road,73,RD2891374898061466,28.6,405.63,46.08,451.71,phonePy
auto,2024-07-10,20:35:20,cancelled,Whitefield West,MG Road Trinity Circle,21,RD7421912800031801,21.71,,,,
auto,2024-07-09,10:38:20,completed,KR Puram,Malleshwaram 1st Block,118,RD2542289030295646,49.82,672.19,28.62,700.8100000000001,GPay
auto,2024-07-19,17:36:20,completed,Koramangala 8th Block,Shantinagar,31,RD1902644767540989,43.85,460.3,42.9,503.2,Paytm
parcel,2024-06-24,03:33:20,completed,Lavelle Road,HSR Layout Sector 6 South,12,RD8812147581696017,14.03,195.09,12.5,207.59,Paytm
